PROGRAM CODE,PROGRAM NAME,COLLEGE CODE
BSIS,Bachelor Of Science In Information Systems,CED
BSCS,Bachelor Of Science In Computer Science,CCS
BSCHE,Bachelor Of Science In Chemical Engineering,COE
BSENE,Bachelor Of Science In Environmental Engineering,COE
BSCE,Bachelor Of Science In Civil Engineering,COE
BSMETE,Bachelor Of Science In Metallurgical Engineering,COE
BSA,Bachelor Of Science In Accountancy,CEBA
BSBA,Bachelor Of Science In Business Administration,CEBA
BSHM,Bachelor Of Science In Hospitality Management,CEBA
BAELS,Bachelor Of Science In English Language Studies,CASS
BSPSYCH,Bachelor Of Science In Psychology,CASS
BAPOLSCI,Bachelor Of Arts In Political Science,CASS
BSEDCHEM,Bachelor Of Secondary Education In Chemistry,CED
BSEDPHYS,Bachelor Of Secondary Education In Physics,CED
BSEDMATH,Bachelor Of Secondary Education In Mathematics,CED
BSN,Bachelor Of Science In Nursing,CHS
BSCOMSCIE,Com Scie,CCS
BSCAS,Compute The Application,CCS
BSCASA,Asdfasdf,CEBA
BSLAW,Asdf,CSM
